Designator,Mid X,Mid Y,Rotation,Layer
C1,137.639086,-32.329993,0.0,bottom
C10,137.639086,-33.349993,0.0,bottom
C11,144.659086,-39.569993,0.0,bottom
C12,155.829993,-30.649993,90.0,bottom
C13,156.449993,-41.719993,270.0,bottom
C14,150.139086,-31.919993,90.0,bottom
C2,145.709993,-31.989993,90.0,bottom
C3,137.639086,-34.389993,0.0,bottom
C4,149.309993,-43.579993,0.0,bottom
C5,155.699993,-44.859993,90.0,bottom
C6,146.749993,-31.989993,90.0,bottom
C7,151.119086,-31.919993,90.0,bottom
C8,151.159993,-45.929993,270.0,bottom
C9,149.322493,-44.622493,0.0,bottom
D1,125.062493,-68.562493,90.0,bottom
D10,160.812493,-106.849993,90.0,bottom
D11,164.062493,-106.852493,90.0,bottom
D12,124.222493,-125.072493,90.0,bottom
D13,143.652493,-125.122493,90.0,bottom
D14,163.552493,-125.112493,90.0,bottom
D15,141.182493,-134.324993,270.0,bottom
D16,143.602493,-130.942493,270.0,bottom
D17,174.504993,-136.502493,180.0,bottom
D2,144.592493,-68.949993,90.0,bottom
D20,126.552493,-35.742493,90.0,bottom
D21,164.832493,-40.212493,270.0,bottom
D3,163.622493,-68.969993,90.0,bottom
D4,180.922493,-69.732493,90.0,bottom
D5,125.452493,-88.312493,90.0,bottom
D6,144.502493,-88.312493,90.0,bottom
D7,163.572493,-88.327493,90.0,bottom
D8,125.332493,-106.752493,90.0,bottom
D9,144.442493,-107.242493,90.0,bottom
F1,141.802493,-30.982493,0.0,bottom
J3,145.692493,-22.772493,0.0,top
J4,143.452493,-49.132493,180.0,bottom
LED10,155.069993,-103.992493,0.0,bottom
LED11,136.072493,-103.942493,0.0,bottom
LED12,117.012493,-104.012493,0.0,bottom
LED13,116.922493,-84.892493,0.0,bottom
LED14,174.122493,-65.762493,0.0,bottom
LED15,174.382493,-94.482493,180.0,bottom
LED16,155.109993,-84.982493,0.0,bottom
LED17,135.977493,-85.112493,0.0,bottom
LED18,155.202493,-65.812493,0.0,bottom
LED19,136.222493,-65.712493,0.0,bottom
LED20,117.102493,-65.872493,0.0,bottom
LED21,117.062493,-37.892493,180.0,bottom
LED4,174.574994,-132.562493,180.0,bottom
LED5,155.292493,-142.052493,0.0,bottom
LED6,126.792493,-142.062493,180.0,bottom
LED7,155.162493,-122.952493,0.0,bottom
LED8,136.089993,-122.902493,0.0,bottom
LED9,117.032493,-122.952493,0.0,bottom
R1,142.492493,-24.602493,270.0,bottom
R10,134.392493,-43.802493,180.0,bottom
R11,152.279993,-26.669993,0.0,bottom
R12,140.972493,-24.552493,90.0,bottom
R13,139.912493,-25.592493,270.0,bottom
R2,149.352493,-45.692493,180.0,bottom
R3,155.849993,-28.659993,90.0,bottom
R4,143.552493,-25.602493,90.0,bottom
R6,148.779086,-31.989993,270.0,bottom
R7,147.779993,-31.999993,270.0,bottom
R8,151.169993,-44.039993,90.0,bottom
R9,136.472493,-43.802493,180.0,bottom
SW0,117.157493,-60.597293,0.0,bottom
SW1,136.207493,-60.597293,0.0,bottom
SW10,155.257493,-98.697293,0.0,bottom
SW11,117.157493,-117.747293,0.0,bottom
SW12,136.207493,-117.747293,0.0,bottom
SW13,155.257493,-117.747293,0.0,bottom
SW14,174.307493,-127.280493,0.0,bottom
SW15,126.680986,-136.822736,0.0,bottom
SW16,155.257493,-136.797293,0.0,bottom
SW17,152.002493,-48.802493,0.0,bottom
SW18,157.789993,-37.499993,90.0,bottom
SW19,174.362493,-32.402493,270.0,top
SW2,155.257493,-60.597293,0.0,bottom
SW20,117.152493,-32.622493,0.0,bottom
SW3,174.307493,-60.597293,0.0,bottom
SW4,117.157493,-79.647293,0.0,bottom
SW5,136.207493,-79.647293,0.0,bottom
SW6,155.257493,-79.647293,0.0,bottom
SW7,174.307493,-89.170493,0.0,bottom
SW8,117.157493,-98.697293,0.0,bottom
SW9,136.207493,-98.697293,0.0,bottom
U1,141.927493,-33.709993,0.0,bottom
U2,151.009993,-38.179993,90.0,bottom
U3,152.209993,-28.809993,0.0,bottom
Y1,153.579993,-45.119993,270.0,bottom
