Designator,Mid X,Mid Y,Rotation,Layer
D1,91.29,-29.89,180.0,bottom
D10,101.75,-122.39,270.0,bottom
D11,99.29,-63.995,90.0,bottom
D12,99.33,-82.7075,90.0,bottom
D13,99.53,-102.39,90.0,bottom
D14,99.32,-121.4175,90.0,bottom
D15,118.35,-63.9475,90.0,bottom
D16,116.39,-82.6475,90.0,bottom
D17,115.96,-102.36,90.0,bottom
D18,118.38,-121.3975,90.0,bottom
D19,104.09,-122.4,270.0,bottom
D20,130.28,-43.6475,90.0,bottom
D21,120.88,-63.9875,90.0,bottom
D22,118.68,-102.37,90.0,bottom
D23,128.1425,-113.7,180.0,bottom
D5,102.550001,-45.679999,90.0,bottom
D6,79.24,-63.87,90.0,bottom
D7,80.24,-82.6775,90.0,bottom
D8,80.27,-102.4,90.0,bottom
D9,80.32,-121.33,90.0,bottom
J1,98.54,-34.81,0.0,bottom
J2,109.71,-21.97,270.0,bottom
J4,109.69,-25.06,90.0,bottom
J5,100.49,-18.33,90.0,top
LED1,129.152501,-128.16,180.0,bottom
LED10,71.93,-80.51,0.0,bottom
LED11,128.81,-61.34,180.0,bottom
LED12,129.0075,-90.22,0.0,bottom
LED13,110.02,-80.53,0.0,bottom
LED14,90.99,-80.52,0.0,bottom
LED15,109.93,-61.32,0.0,bottom
LED16,90.91,-61.31,0.0,bottom
LED17,71.8075,-61.3,0.0,bottom
LED18,71.8475,-33.3,180.0,bottom
LED2,110.0575,-137.57,180.0,bottom
LED3,81.462501,-137.57,180.0,bottom
LED4,109.92,-118.55,0.0,bottom
LED5,90.92,-118.53,0.0,bottom
LED6,71.8175,-118.52,0.0,bottom
LED7,110.09,-99.57,0.0,bottom
LED8,91.1,-99.55,0.0,bottom
LED9,71.9975,-99.56,0.0,bottom
Q1,87.55,-27.69,90.0,bottom
Q2,90.6725,-39.2,0.0,bottom
R1,87.01,-31.5925,270.0,bottom
R10,98.05,-21.07,0.0,bottom
R11,98.6375,-21.57,90.0,bottom
R2,94.9275,-21.53,270.0,bottom
R3,96.2475,-20.52,90.0,bottom
R5,91.2125,-35.95,0.0,bottom
R6,98.4,-26.1,180.0,bottom
R7,98.41,-27.63,0.0,bottom
R9,87.4275,-35.02,180.0,bottom
RST,102.12,-23.47,270.0,bottom
SW10,91.02,-75.198,0.0,bottom
SW11,91.024565,-94.25488,0.0,bottom
SW12,91.011685,-113.323825,0.0,bottom
SW13,110.04,-56.134,0.0,bottom
SW14,110.07,-75.198,0.0,bottom
SW15,110.06,-94.262,0.0,bottom
SW16,110.05,-113.33,0.0,bottom
SW17,110.06,-132.38,0.0,bottom
SW18,129.149015,-27.93,270.0,bottom
SW20,129.1,-56.136,0.0,bottom
SW21,129.105,-84.728,0.0,bottom
SW22,129.115,-122.828,0.0,bottom
SW3,71.959,-28.190896,0.0,bottom
SW4,71.95,-56.144,0.0,bottom
SW5,71.96,-75.19,0.0,bottom
SW6,71.964565,-94.25688,0.0,bottom
SW7,71.95,-113.322,0.0,bottom
SW8,81.488,-132.385,0.0,bottom
SW9,91.0,-56.136,0.0,bottom
U1,113.036,-35.518,180.0,bottom
U2,92.98,-26.92,0.0,bottom
U3,91.33,-32.87,0.0,bottom
X1,109.37,-44.631,180.0,bottom
